"year","lakeid","ice_on","ice_off","ice_duration","temp"
1884,"Lake Mendota",1884-12-17,1885-04-20,124,-6.30994475138122
1885,"Lake Mendota",1885-12-12,1886-04-19,128,-2.97403314917127
1886,"Lake Mendota",1886-12-05,1887-04-15,131,-4.98674033149171
1887,"Lake Mendota",1887-12-24,1888-04-15,113,-4.98956043956044
1888,"Lake Mendota",1889-01-02,1889-03-31,88,-1.08232044198895
1889,"Lake Mendota",1890-01-14,1890-03-30,75,-0.719337016574586
1890,"Lake Mendota",1890-12-26,1891-04-16,111,-1.23480662983425
1891,"Lake Mendota",1891-12-27,1892-04-02,97,-2.61428571428571
1892,"Lake Mendota",1892-12-16,1893-04-07,112,-5.34198895027624
1893,"Lake Mendota",1893-12-04,1894-03-15,101,-1.88453038674033
1894,"Lake Mendota",1894-12-28,1895-04-08,101,-3.23370165745856
1895,"Lake Mendota",1896-01-05,1896-04-05,91,-1.70604395604396
1896,"Lake Mendota",1896-12-21,1897-04-10,110,-2.22707182320442
1897,"Lake Mendota",1897-12-17,1898-03-27,100,-2.27845303867403
1898,"Lake Mendota",1898-12-09,1899-04-18,130,-4.37237569060773
1899,"Lake Mendota",1899-12-27,1900-04-17,111,-2.20386740331492
1900,"Lake Mendota",1900-12-25,1901-04-11,107,-2.61988950276243
1901,"Lake Mendota",1901-12-15,1902-03-30,105,-2.21381215469613
1902,"Lake Mendota",1902-12-25,1903-03-24,89,-1.09502762430939
1903,"Lake Mendota",1903-12-13,1904-04-17,126,-5.38956043956044
1904,"Lake Mendota",1904-12-14,1905-04-01,108,-3.24696132596685
1905,"Lake Mendota",1906-01-01,1906-04-08,97,-1.82762430939227
1906,"Lake Mendota",1906-12-20,1907-03-24,94,-2.30828729281768
1907,"Lake Mendota",1908-01-01,1908-03-24,83,-1.21648351648352
1908,"Lake Mendota",1908-12-22,1909-04-07,106,-2.23977900552486
1909,"Lake Mendota",1909-12-18,1910-03-26,98,-1.38950276243094
1910,"Lake Mendota",1910-12-09,1911-03-20,101,-2.27348066298343
1911,"Lake Mendota",1911-12-28,1912-04-14,108,-5.17087912087912
1912,"Lake Mendota",1912-12-24,1913-04-02,99,-1.93204419889503
1913,"Lake Mendota",1914-01-12,1914-04-10,88,-1.03591160220994
1914,"Lake Mendota",1914-12-16,1915-04-10,115,-1.75966850828729
1915,"Lake Mendota",1915-12-28,1916-04-08,102,-2.39010989010989
1916,"Lake Mendota",1916-12-16,1917-04-11,116,-4.28342541436464
1917,"Lake Mendota",1917-12-11,1918-04-05,115,-3.99889502762431
1918,"Lake Mendota",1919-01-03,1919-03-26,82,-0.148066298342541
1919,"Lake Mendota",1919-12-09,1920-03-28,110,-4.81593406593407
1920,"Lake Mendota",1920-12-25,1921-03-16,81,0.0596685082872928
1921,"Lake Mendota",1921-12-25,1922-03-31,96,-2.40497237569061
1922,"Lake Mendota",1922-12-16,1923-04-20,125,-2.8817679558011
1923,"Lake Mendota",1924-01-01,1924-04-14,104,-1.8467032967033
1924,"Lake Mendota",1924-12-19,1925-04-03,105,-1.74309392265193
1925,"Lake Mendota",1925-12-16,1926-04-19,124,-3.34033149171271
1926,"Lake Mendota",1926-12-06,1927-03-19,103,-1.96408839779006
1927,"Lake Mendota",1927-12-17,1928-04-01,106,-2.1032967032967
1928,"Lake Mendota",1928-12-21,1929-03-27,96,-2.93425414364641
1929,"Lake Mendota",1929-12-03,1930-03-20,107,-2.18618784530387
1930,"Lake Mendota",1930-12-16,1931-03-24,98,0.0558011049723757
1931,"Lake Mendota",1932-01-30,1932-04-04,65,-0.0186813186813187
1932,"Lake Mendota",1932-12-10,1933-04-04,115,-1.84254143646409
1933,"Lake Mendota",1933-12-25,1934-03-26,91,-2.00939226519337
1934,"Lake Mendota",1934-12-24,1935-03-28,94,-1.63370165745856
1935,"Lake Mendota",1935-12-20,1936-03-30,101,-4.72747252747253
1936,"Lake Mendota",1936-12-07,1937-04-13,121,-2.87569060773481
1937,"Lake Mendota",1937-12-07,1938-03-22,105,-1.09060773480663
1938,"Lake Mendota",1938-12-28,1939-04-04,97,-1.45193370165746
1939,"Lake Mendota",1940-01-02,1940-04-16,105,-2.34615384615385
1940,"Lake Mendota",1941-01-05,1941-04-11,96,-1.6524861878453
1941,"Lake Mendota",1942-01-03,1942-03-26,82,-0.00607734806629839
1942,"Lake Mendota",1942-12-07,1943-04-02,116,-3.38011049723757
1943,"Lake Mendota",1943-12-16,1944-04-08,114,-1.85384615384615
1944,"Lake Mendota",1944-12-18,1945-03-20,92,-1.06243093922652
1945,"Lake Mendota",1945-12-13,1946-03-21,98,-0.815469613259668
1946,"Lake Mendota",1946-12-30,1947-04-10,101,-1.8292817679558
1947,"Lake Mendota",1947-12-21,1948-04-03,104,-2.50549450549451
1948,"Lake Mendota",1948-12-24,1949-03-30,96,-1.03812154696133
1949,"Lake Mendota",1949-12-23,1950-04-11,109,-2.35082872928177
1950,"Lake Mendota",1950-12-11,1951-04-12,122,-3.88121546961326
1951,"Lake Mendota",1951-12-16,1952-04-08,114,-2.11098901098901
1952,"Lake Mendota",1952-12-30,1953-03-21,81,-0.588950276243094
1953,"Lake Mendota",1953-12-30,1954-03-25,85,0.239226519337017
1954,"Lake Mendota",1955-01-02,1955-04-04,92,-0.938121546961326
1955,"Lake Mendota",1955-12-12,1956-04-04,114,-2.86758241758242
1956,"Lake Mendota",1956-12-14,1957-04-04,111,-1.34198895027624
1957,"Lake Mendota",1957-12-30,1958-04-04,95,-1.45635359116022
1958,"Lake Mendota",1958-12-09,1959-04-14,126,-3.53259668508287
1959,"Lake Mendota",1959-12-29,1960-04-12,105,-2.30054945054945
1960,"Lake Mendota",1960-12-19,1961-04-06,108,-1.15966850828729
1961,"Lake Mendota",1961-12-16,1962-04-12,117,-2.78508287292818
1962,"Lake Mendota",1962-12-12,1963-04-03,112,-2.93756906077348
1963,"Lake Mendota",1963-12-20,1964-04-11,113,-0.963736263736264
1964,"Lake Mendota",1964-12-15,1965-04-14,120,-2.63812154696133
1965,"Lake Mendota",1966-01-11,1966-03-17,65,-1.37348066298343
1966,"Lake Mendota",1966-12-26,1967-04-03,98,-1.35193370165746
1967,"Lake Mendota",1967-12-27,1968-03-27,91,-0.567582417582418
1968,"Lake Mendota",1968-12-17,1969-04-10,108,-1.60497237569061
1969,"Lake Mendota",1969-12-16,1970-04-08,113,-2.32596685082873
1970,"Lake Mendota",1970-12-24,1971-04-13,110,-2.39779005524862
1971,"Lake Mendota",1972-01-05,1972-04-19,105,-2.54615384615385
1972,"Lake Mendota",1972-12-07,1973-03-14,97,-0.40828729281768
1973,"Lake Mendota",1973-12-21,1974-04-05,105,-1.16574585635359
1974,"Lake Mendota",1975-01-02,1975-04-19,107,-1.37348066298343
1975,"Lake Mendota",1975-12-27,1976-03-24,88,0.712637362637363
1976,"Lake Mendota",1976-12-03,1977-03-28,115,-2.68342541436464
1977,"Lake Mendota",1977-12-07,1978-04-11,123,-3.77900552486188
1978,"Lake Mendota",1978-12-10,1979-04-19,118,-4.05414364640884
1979,"Lake Mendota",1979-12-29,1980-04-06,99,-2.01153846153846
1980,"Lake Mendota",1980-12-20,1981-03-23,93,-0.254696132596685
1981,"Lake Mendota",1981-12-28,1982-04-03,96,-3.16795580110497
1982,"Lake Mendota",1983-01-13,1983-03-08,54,-0.624861878453039
1983,"Lake Mendota",1983-12-19,1984-04-08,111,-2.57197802197802
1984,"Lake Mendota",1984-12-25,1985-03-27,85,-0.973480662983425
1985,"Lake Mendota",1985-12-14,1986-03-31,107,-2.43370165745856
1986,"Lake Mendota",1986-12-13,1987-03-12,89,0.405524861878453
1987,"Lake Mendota",1988-01-02,1988-03-29,87,-1.12032967032967
1988,"Lake Mendota",1988-12-29,1989-04-05,97,-1.00662983425414
1989,"Lake Mendota",1989-12-12,1990-03-15,93,-0.402762430939227
1990,"Lake Mendota",1990-12-26,1991-03-24,88,-0.212154696132597
1991,"Lake Mendota",1991-12-18,1992-03-26,99,-0.133516483516484
1992,"Lake Mendota",1992-12-24,1993-04-11,108,-1.31767955801105
1993,"Lake Mendota",1993-12-27,1994-03-31,94,-1.96574585635359
1994,"Lake Mendota",1995-01-06,1995-03-21,74,0.108839779005525
1995,"Lake Mendota",1995-12-10,1996-04-07,119,-3.29835164835165
1996,"Lake Mendota",1996-12-20,1997-04-01,102,-2.19834254143646
1997,"Lake Mendota",1998-01-11,1998-02-27,47,0.741988950276243
1998,"Lake Mendota",1998-12-30,1999-03-21,81,0.792265193370166
1999,"Lake Mendota",2000-01-14,2000-03-07,53,1.10934065934066
2000,"Lake Mendota",2000-12-13,2001-04-07,115,-2.03867403314917
2001,"Lake Mendota",2002-01-02,2002-03-15,21,1.82375690607735
2002,"Lake Mendota",2003-01-04,2003-04-03,89,-1.41602209944751
2003,"Lake Mendota",2004-01-07,2004-03-27,80,-0.148351648351648
2004,"Lake Mendota",2004-12-25,2005-04-05,101,0.657458563535912
2005,"Lake Mendota",2005-12-19,2006-03-24,95,0.665193370165746
2006,"Lake Mendota",2007-01-20,2007-03-27,66,0.160220994475138
2007,"Lake Mendota",2007-12-26,2008-04-10,106,-2.10769230769231
2008,"Lake Mendota",2008-12-16,2009-03-23,97,-2.06243093922652
2009,"Lake Mendota",2009-12-29,2010-03-26,87,0.370165745856354
2010,"Lake Mendota",2010-12-15,2011-04-03,110,-1.55635359116022
2011,"Lake Mendota",2012-01-14,2012-03-11,57,2.97307692307692
2012,"Lake Mendota",2013-01-14,2013-04-11,87,-0.975690607734807
2013,"Lake Mendota",2013-12-16,2014-04-12,117,-3.95801104972376
2014,"Lake Mendota",2015-01-02,2015-04-03,91,-1.73480662983425
2015,"Lake Mendota",2016-01-11,2016-03-13,62,1.61483516483516
2016,"Lake Mendota",2017-01-01,2017-03-07,65,1.28508287292818
2017,"Lake Mendota",2017-12-27,2018-03-31,94,-2.0524861878453
2018,"Lake Mendota",2018-12-15,2019-03-31,86,-1.75580110497238
2019,"Lake Mendota",2020-01-12,2020-03-22,70,-0.819672131147541
